Result,Address A,Size A,Address B,Size B
Difference,7A75h,1h,7A75h,1h
Match,7A76h,6h,7A76h,6h
Difference,7A7Ch,2h,7A7Ch,2h
Match,7A7Eh,9h,7A7Eh,9h
Difference,7A87h,2h,7A87h,2h
Match,7A89h,16h,7A89h,16h
Difference,7A9Fh,1h,7A9Fh,1h
Match,7AA0h,12h,7AA0h,12h
Difference,7AB2h,1h,7AB2h,1h
Match,7AB3h,31h,7AB3h,31h
Difference,7AE4h,1h,7AE4h,1h
Match,7AE5h,1Bh,7AE5h,1Bh
Difference,7B00h,1h,7B00h,1h
Match,7B01h,19h,7B01h,19h
Difference,7B1Ah,1h,7B1Ah,1h
Match,7B1Bh,Bh,7B1Bh,Bh
Difference,7B26h,1h,7B26h,1h
Match,7B27h,1Bh,7B27h,1Bh
Difference,7B42h,2h,7B42h,2h
Match,7B44h,42h,7B44h,42h
Difference,7B86h,1h,7B86h,1h
Match,7B87h,6h,7B87h,6h
Difference,7B8Dh,2h,7B8Dh,2h
Match,7B8Fh,11h,7B8Fh,11h
Difference,7BA0h,1h,7BA0h,1h
Match,7BA1h,6h,7BA1h,6h
Difference,7BA7h,2h,7BA7h,2h
Match,7BA9h,Fh,7BA9h,Fh
Difference,7BB8h,1h,7BB8h,1h
Match,7BB9h,52h,7BB9h,52h
Difference,7C0Bh,1h,7C0Bh,1h
Match,7C0Ch,142h,7C0Ch,142h
Difference,7D4Eh,1h,7D4Eh,1h
Match,7D4Fh,6h,7D4Fh,6h
Difference,7D55h,2h,7D55h,2h
Match,7D57h,Dh,7D57h,Dh
Difference,7D64h,2h,7D64h,2h
Match,7D66h,AFh,7D66h,AFh
Difference,7E15h,1h,7E15h,1h
Match,7E16h,6h,7E16h,6h
Difference,7E1Ch,2h,7E1Ch,2h
Match,7E1Eh,21h,7E1Eh,21h
Difference,7E3Fh,2h,7E3Fh,2h
Match,7E41h,8h,7E41h,8h
Difference,7E49h,1h,7E49h,1h
Match,7E4Ah,8h,7E4Ah,8h
Difference,7E52h,1h,7E52h,1h
Match,7E53h,22h,7E53h,22h
Difference,7E75h,2h,7E75h,2h
Match,7E77h,Ah,7E77h,Ah
Difference,7E81h,2h,7E81h,2h
Match,7E83h,14Bh,7E83h,14Bh
Difference,7FCEh,2h,7FCEh,2h
Match,7FD0h,1Fh,7FD0h,1Fh
Difference,7FEFh,1h,7FEFh,1h
Match,7FF0h,3A4h,7FF0h,3A4h
Difference,8394h,1h,8394h,1h
Match,8395h,1Dh,8395h,1Dh
Difference,83B2h,1h,83B2h,1h
Match,83B3h,127h,83B3h,127h
Difference,84DAh,2h,84DAh,2h
Match,84DCh,Ch,84DCh,Ch
Difference,84E8h,1h,84E8h,1h
Match,84E9h,5h,84E9h,5h
Difference,84EEh,2h,84EEh,2h
Match,84F0h,11h,84F0h,11h
Difference,8501h,1h,8501h,1h
Match,8502h,85h,8502h,85h
Difference,8587h,1h,8587h,1h
Match,8588h,2B5h,8588h,2B5h
Difference,883Dh,2h,883Dh,2h
Match,883Fh,7Fh,883Fh,7Fh
Difference,88BEh,2h,88BEh,2h
Match,88C0h,6Ah,88C0h,6Ah
Difference,892Ah,2h,892Ah,2h
Match,892Ch,23h,892Ch,23h
Difference,894Fh,1h,894Fh,1h
Match,8950h,Dh,8950h,Dh
Difference,895Dh,1h,895Dh,1h
Match,895Eh,1Bh,895Eh,1Bh
Difference,8979h,2h,8979h,2h
Match,897Bh,12h,897Bh,12h
Difference,898Dh,1h,898Dh,1h
Match,898Eh,220h,898Eh,220h
Difference,8BAEh,1h,8BAEh,1h
Match,8BAFh,4h,8BAFh,4h
Difference,8BB3h,2h,8BB3h,2h
Match,8BB5h,93h,8BB5h,93h
Difference,8C48h,1h,8C48h,1h
Match,8C49h,16h,8C49h,16h
Difference,8C5Fh,2h,8C5Fh,2h
Match,8C61h,10h,8C61h,10h
Difference,8C71h,1h,8C71h,1h
Match,8C72h,Dh,8C72h,Dh
Difference,8C7Fh,2h,8C7Fh,2h
Match,8C81h,1Dh,8C81h,1Dh
Difference,8C9Eh,1h,8C9Eh,1h
Match,8C9Fh,79h,8C9Fh,79h
Difference,8D18h,1h,8D18h,1h
Match,8D19h,12h,8D19h,12h
Difference,8D2Bh,2h,8D2Bh,2h
Match,8D2Dh,14h,8D2Dh,14h
Difference,8D41h,2h,8D41h,2h
Match,8D43h,26h,8D43h,26h
Difference,8D69h,2h,8D69h,2h
Match,8D6Bh,90h,8D6Bh,90h
Difference,8DFBh,2h,8DFBh,2h
Match,8DFDh,Bh,8DFDh,Bh
Difference,8E08h,2h,8E08h,2h
Match,8E0Ah,18Ah,8E0Ah,18Ah
Difference,8F94h,1h,8F94h,1h
Match,8F95h,4Ah,8F95h,4Ah
Difference,8FDFh,1h,8FDFh,1h
Match,8FE0h,Ah,8FE0h,Ah
Difference,8FEAh,2h,8FEAh,2h
Match,8FECh,4Dh,8FECh,4Dh
Difference,9039h,1h,9039h,1h
Match,903Ah,Ah,903Ah,Ah
Difference,9044h,2h,9044h,2h
Match,9046h,2FD2h,9046h,2FD2h
Difference,C018h,1h,C018h,1h
Match,C019h,120h,C019h,120h
Difference,C139h,1h,C139h,1h
Match,C13Ah,1Ah,C13Ah,1Ah
Difference,C154h,1h,C154h,1h
Match,C155h,40Eh,C155h,40Eh
Difference,C563h,1h,C563h,1h
Match,C564h,52h,C564h,52h
Difference,C5B6h,1h,C5B6h,1h
Match,C5B7h,Dh,C5B7h,Dh
Difference,C5C4h,2h,C5C4h,2h
Match,C5C6h,5h,C5C6h,5h
Difference,C5CBh,2h,C5CBh,2h
Match,C5CDh,5h,C5CDh,5h
Difference,C5D2h,2h,C5D2h,2h
Match,C5D4h,1Bh,C5D4h,1Bh
Difference,C5EFh,2h,C5EFh,2h
Match,C5F1h,8h,C5F1h,8h
Difference,C5F9h,2h,C5F9h,2h
Match,C5FBh,5h,C5FBh,5h
Difference,C600h,1h,C600h,1h
Match,C601h,196h,C601h,196h
Difference,C797h,1h,C797h,1h
Match,C798h,17h,C798h,17h
Difference,C7AFh,1h,C7AFh,1h
Match,C7B0h,32h,C7B0h,32h
Difference,C7E2h,1h,C7E2h,1h
Match,C7E3h,30h,C7E3h,30h
Difference,C813h,1h,C813h,1h
Match,C814h,Dh,C814h,Dh
Difference,C821h,2h,C821h,2h
Match,C823h,5h,C823h,5h
Difference,C828h,2h,C828h,2h
Match,C82Ah,1Bh,C82Ah,1Bh
Difference,C845h,2h,C845h,2h
Match,C847h,8h,C847h,8h
Difference,C84Fh,2h,C84Fh,2h
Match,C851h,5h,C851h,5h
Difference,C856h,1h,C856h,1h
Match,C857h,24Eh,C857h,24Eh
Difference,CAA5h,1h,CAA5h,1h
Match,CAA6h,1Ah,CAA6h,1Ah
Difference,CAC0h,1h,CAC0h,1h
Match,CAC1h,55h,CAC1h,55h
Difference,CB16h,1h,CB16h,1h
Match,CB17h,Ch,CB17h,Ch
Difference,CB23h,1h,CB23h,1h
Match,CB24h,55h,CB24h,55h
Difference,CB79h,2h,CB79h,2h
Match,CB7Bh,5h,CB7Bh,5h
Difference,CB80h,2h,CB80h,2h
Match,CB82h,D3h,CB82h,D3h
Difference,CC55h,1h,CC55h,1h
Match,CC56h,5h,CC56h,5h
Difference,CC5Bh,2h,CC5Bh,2h
Match,CC5Dh,Ch,CC5Dh,Ch
Difference,CC69h,1h,CC69h,1h
Match,CC6Ah,1Bh,CC6Ah,1Bh
Difference,CC85h,1h,CC85h,1h
Match,CC86h,51h,CC86h,51h
Difference,CCD7h,1h,CCD7h,1h
Match,CCD8h,Dh,CCD8h,Dh
Difference,CCE5h,2h,CCE5h,2h
Match,CCE7h,5h,CCE7h,5h
